s,-0.023273833,-0.07988801,-0.44041577,0.41633305,0.8491892,1.8258855,2.008475,1.2540622,-0.79583675,0.2603353,1.2773813,0.7388736,-1.4942317,0.6617795,2.2549677,-1.1395164,-0.3569125,0.07729787,-0.6645856,-1.6911979,1.5601903,0.97188044,-0.15965606,1.8849676,-0.2857594,0.59121436,0.9449973,0.5783177,-0.30973002,1.2869157,-1.2714813,-0.78213334,-0.3500957,1.3975393,0.033369586,-0.62912405,0.63819027,0.050838888,1.2755884,-1.5559181,-0.9211506,-0.9373367,-1.1555544,0.23025417,1.5054176,0.3481557,0.99103653,-0.65531546,-0.19885473,1.636687,0.8242967,1.1910075,0.34909543,0.6442535,-0.38239524,-1.4008231,-0.109205425,1.4563569,0.47060567,0.73336446,-1.1578796,1.3557408,0.26913354,0.40951425
A,0.459373,-1.0909594,-0.0744813,1.2882804,1.5222404,0.55881447,-1.4766139,0.42862508,0.78203905,-0.545599,1.7271105,-0.3889111,-1.9054554,0.17581238,0.865043,-0.23237537,-0.49927965,-0.5324245,-0.04194593,-0.38404638,-0.052773442,-1.7283844,-0.98029095,-1.2781881,-1.1968505,1.484899,0.23707128,-0.4950116,-0.6721036,1.076206,0.698521,1.4592079,0.2198647,0.5655529,-1.5520527,2.0792506,0.8348607,-0.45722026,-1.0319854,-1.0669608,-2.0636551,0.73266894,-0.4851341,-0.218362,0.31574523,-1.1804929,-2.1861265,-0.22185737,1.0444144,-0.5622007,-0.29589397,0.28938207,-0.42233425,-0.07351722,-0.15115637,-0.7886283,1.2605311,0.21446772,-0.29530203,1.278841,0.65837705,-0.92014706,-0.83710307,-1.4196016
C,-1.1976016,0.080977395,-1.1903825,0.7470191,-0.8314012,-1.6254445,0.92102826,0.01899936,0.35296136,0.927924,0.039959256,-1.1908575,0.7544104,2.0149322,0.87778664,-0.814061,-2.3500388,0.8927133,0.06310186,-1.3615314,0.3482096,0.77450305,0.2824385,0.5733572,-0.9590182,0.5276641,-2.848229,0.7673147,0.21288465,0.9181919,-1.2081465,1.1934896,-0.7340102,-0.49788314,-1.6245992,-1.8557858,-0.675092,-0.21998516,0.090415604,0.11279396,1.3540403,1.4619911,0.82731634,-2.1464574,2.0847814,-0.3362858,-0.6366003,0.6466985,-1.1493906,-1.5091923,0.5708878,0.13358888,0.30170587,0.34095183,-0.5700936,1.4436562,-1.5134704,-0.8410775,-0.053733964,-1.039905,0.6410487,0.1566165,-0.026051879,-2.0384562
D,-0.79541546,-0.56230634,-1.3541031,1.8390163,-0.41553813,-1.761629,0.27925754,0.7662814,-0.53965724,-0.8832887,-0.12392386,0.3320181,2.213869,-0.5602972,-0.0017424324,-0.55050874,-0.2665663,-1.4111204,-1.095464,0.951079,-0.019952703,-1.215894,-0.7402516,0.08132603,-0.16923636,-0.58398944,0.701453,-0.278977,-0.52193224,-0.20367539,-1.7517124,0.5879281,2.2721217,0.3335213,1.4162425,-0.15163521,-0.421475,0.3098629,-1.186672,0.9514331,0.8411828,-0.4112204,-2.2175536,-1.6696426,0.010383871,-0.26488155,0.44492555,0.3845695,-1.2830939,0.19751014,0.22068378,-0.91165036,-1.7402158,0.025503002,1.8939687,-0.18751994,-1.4931377,-0.21728192,2.168342,1.0954752,-0.4923464,1.3977313,-0.24764538,0.07399789
E,0.53636,0.49162686,-0.40759423,0.8996841,-0.81179506,0.38132727,0.33012366,1.106644,0.35382766,0.4354127,1.7454617,-1.1657304,0.8875156,-0.09065375,0.22834076,-0.22479926,0.65339506,-0.5683516,0.2921621,1.3608757,0.06005955,-1.6293026,0.08468518,1.5914357,0.87318504,-0.17212865,-0.028596958,-0.6434194,-1.6883848,0.18417868,-0.9440509,1.450653,-1.9051709,-0.7307187,0.13003568,-1.9710617,0.50325197,-1.0639477,0.57887685,-1.7007976,0.3930826,-0.75169486,0.4442485,-0.42524913,1.1360097,-1.1208186,-1.0001919,-0.057684947,0.20808256,-1.1656344,-0.4267777,-0.0880409,-0.7032401,-0.12179076,0.2918479,0.8435035,0.29847842,-1.5888304,-1.9300301,0.004317808,1.8197628,-0.53469574,-0.26221886,-0.041946054
F,0.80717915,-0.034508836,0.27308965,-0.3189996,1.1220564,0.47670475,2.512416,1.1933941,1.2115479,0.73497206,-1.8932825,-0.6514558,-1.6868598,-1.4778718,-0.4804739,-0.8681022,0.9268611,-1.4293767,0.15451893,-1.3826482,0.12774858,1.1114073,-0.70237094,-0.8105307,0.34856993,1.0127242,0.60106456,0.11708167,-0.24709143,-0.7896838,-0.42083576,0.5135078,1.3766603,-0.07057246,1.458698,0.09612406,-1.3283541,0.6009447,0.19478416,-0.37657905,-0.95521957,-0.42381224,0.29800242,-1.0523736,0.26889503,0.58915937,0.50405383,1.2742518,-1.8267808,1.249044,1.1944278,0.9993698,0.16026825,0.54058284,-0.32939142,-0.45813483,1.0291767,-0.8974937,1.2367251,-1.7007202,-0.4889212,2.0595427,-0.0030279462,-0.38754892
G,0.58612984,0.47256404,-0.33124626,1.1147772,0.26421803,-0.7079028,-0.87717366,-0.63637286,-0.81422675,1.4689769,-1.5326692,2.4343922,-0.5359321,-0.5786626,0.034526933,-0.014336766,0.7109932,0.42562947,-0.31813994,0.50803924,0.6467914,-0.41463807,0.5928724,0.30968076,0.5949745,0.13567637,-0.1811116,-1.9068358,1.3738818,0.056681205,-1.1179365,-1.3199866,-1.4513307,-1.1207522,0.5474997,-1.6454179,0.77790654,-1.9573549,0.7820044,1.1959956,-0.00060591655,-0.76201236,0.35237798,1.297382,0.48733753,0.88358927,-0.637195,-0.26935056,0.17277123,-1.954617,0.03621337,0.5162224,1.4458679,-0.8294381,0.6187692,-0.97407675,0.9975581,0.67180777,-1.2074357,-0.17873278,-0.77642095,-1.4783964,0.69268143,0.035715617
H,0.43693274,0.32269913,-0.72187424,0.7965893,-0.1926498,0.5442298,-0.26640576,0.3606357,1.4135705,-1.1940746,-2.0046957,0.9901753,0.04313383,-0.015142961,-0.093889125,-0.1376711,0.2771973,-0.8779494,-0.12502453,-0.5068198,0.58022505,1.8200641,1.8626794,-1.0957012,-1.4685377,-0.327999,-1.7638794,-0.04977468,1.0868461,0.97239393,-0.25703165,-1.2383659,2.09181,-1.1449512,0.7201991,-1.1223651,0.4597374,-1.0289458,0.1057618,0.15169875,0.089831635,-0.98219067,0.45713457,0.7322577,-1.4374892,-0.70288247,0.73065084,-0.785305,-1.9594859,-0.1977449,-0.37361556,-0.8922811,0.1873616,-0.23141997,1.9251443,0.22173521,-1.225789,0.42798033,0.32597345,-0.8467177,0.9072771,0.09806211,0.33984825,0.61763656
I,-0.16156574,-0.29633713,-0.6386277,-0.7618572,0.2146616,-0.19217592,-0.46240488,0.2003601,-2.3558114,-0.43136042,-0.7726026,-0.8883206,-1.0665421,0.6136943,0.39562222,-0.3293529,1.170635,0.11651581,-0.38967618,0.28068542,0.18608999,-0.87616706,-0.22300021,-0.015370589,1.2090886,-0.96206295,0.10416762,0.5075994,1.1697187,-0.88547,-0.5847589,0.12697804,-0.18058862,1.294649,0.44681978,2.0532534,-0.42789942,-0.63165516,-0.25476608,-0.8507944,-0.6665754,0.08143974,-1.7705586,-0.5884418,-0.42086822,-0.37070128,-0.692044,0.02548115,-0.6509562,0.24815878,-1.1123928,-0.662004,-1.4818316,-0.073123224,-0.038084157,-0.28083053,-0.43367434,0.6395351,0.6442627,0.24246208,0.20082362,-0.3492197,-0.84755886,1.6464684
K,-0.6906628,1.6756247,-0.332094,-0.67934203,1.5721158,0.77093977,0.12001471,-1.1919056,0.95762473,-1.1480925,-1.1718323,-0.8202662,-0.9100607,-0.8220018,0.39838454,-1.5361171,0.82955116,-0.18049738,0.9755147,0.44118264,-0.16074768,0.20706715,-0.27948472,-0.7029852,-0.3974823,0.44113907,2.2805722,0.9633632,1.5038276,1.4658161,0.17045204,1.7853446,0.58449346,0.7576122,0.24789418,1.4069437,0.16412736,-0.8644972,0.76341176,-0.32258564,-1.3006954,0.8037215,0.48781586,0.14519657,0.04286927,0.14954163,0.43531948,1.0363791,0.15998077,1.3675278,0.3205892,0.94470423,0.26287887,-0.13807401,1.1380726,-0.61443156,0.7256414,0.36255533,0.08600898,-0.5302787,-0.8741905,2.0338862,-0.26283842,-0.07009474
